"date","total_cases","parks_percent_change_from_baseline"
"2020-10-14 00:00:00",139269,98.66666666666667
"2020-10-15 00:00:00",141212,33.72727272727273
"2020-10-16 00:00:00",143495,61.111111111111114
"2020-10-17 00:00:00",145977,111.5
"2020-10-18 00:00:00",147582,64.1
"2020-10-19 00:00:00",149166,6.846153846153846
"2020-10-20 00:00:00",150664,33.6
"2020-10-21 00:00:00",152396,56.285714285714285
"2020-10-22 00:00:00",155246,104.83333333333333
"2020-10-23 00:00:00",157713,36.45454545454545
"2020-10-24 00:00:00",160454,99.25
"2020-10-25 00:00:00",162607,65
"2020-10-26 00:00:00",164581,7.333333333333333
"2020-10-27 00:00:00",166564,15.25
"2020-10-28 00:00:00",169112,48.7
"2020-10-29 00:00:00",172730,14.333333333333334
"2020-10-30 00:00:00",175893,48.7
"2020-10-31 00:00:00",179358,113.25
"2020-11-01 00:00:00",182108,20.666666666666668
"2020-11-02 00:00:00",185185,9.666666666666666
"2020-11-03 00:00:00",188066,84.85714285714286
"2020-11-04 00:00:00",191764,66.77777777777777
"2020-11-05 00:00:00",196176,51.1
"2020-11-06 00:00:00",200823,68.77777777777777
"2020-11-07 00:00:00",205722,113.25
"2020-11-08 00:00:00",210374,111.2
"2020-11-09 00:00:00",214509,53.18181818181818
"2020-11-10 00:00:00",219338,42.44444444444444
"2020-11-11 00:00:00",224374,17.833333333333332
"2020-11-12 00:00:00",230965,22.416666666666668
"2020-11-13 00:00:00",236565,17.384615384615383
"2020-11-14 00:00:00",244887,27.181818181818183
"2020-11-15 00:00:00",251597,-1.9333333333333333
"2020-11-16 00:00:00",256744,4
"2020-11-17 00:00:00",262207,4.333333333333333
"2020-11-18 00:00:00",268222,15.833333333333334
"2020-11-19 00:00:00",275503,29
"2020-11-20 00:00:00",282311,43.833333333333336
"2020-11-21 00:00:00",289183,31.272727272727273
"2020-11-22 00:00:00",295357,-14.1875
"2020-11-23 00:00:00",300913,2.8333333333333335
"2020-11-24 00:00:00",306538,-2.076923076923077
"2020-11-25 00:00:00",312521,-4.714285714285714
"2020-11-26 00:00:00",318894,-2.6923076923076925
"2020-11-27 00:00:00",324537,21.583333333333332
"2020-11-28 00:00:00",329008,59.5
"2020-11-29 00:00:00",333312,28.727272727272727
